Player Name,Team,Position,Games Played,Total Points
Donald Nielsen,Broncos,TE,13,126.2
Daniel Livingston,Rams,QB,15,435.1
William Griffith,Lions,WR,3,67.51
Danny Logan,Chiefs,K,9,65.46
Brandon Elliott,Chiefs,TE,1,17.06
James Hall,Giants,WR,2,54.4
Christopher Murphy,Chargers,DEF,4,35.08
James Goodwin,Steelers,DEF,4,32.28
Kevin Brown,Steelers,TE,3,38.31
Patrick Cooper,Lions,TE,8,99.07
Thomas Kidd,Cardinals,QB,6,169.38
Jason Holland,Chargers,WR,1,19.02
Miguel Welch,Giants,K,9,41.02
Jason Snyder,Steelers,TE,5,59.4
Aaron Lee,Giants,DEF,12,138.6
William Holmes,Texans,K,12,76.69
Phillip Hines,Patriots,K,12,81.86
Martin Harris,Falcons,TE,11,129.84
Robert Meyer,Cardinals,TE,4,27.76
Gregory Moore,Jets,K,5,29.48
Joshua Little,Redskins,RB,11,193.92
William Marshall,Chiefs,TE,15,117.49
William Moore,Vikings,WR,5,65.84
David Brown,Giants,K,4,36.82
James Benjamin,Titans,DEF,1,8.02
Kelly Crane,Eagles,TE,16,199.85
Jacob Moreno,Falcons,K,14,102.45
Sean Cunningham,Giants,QB,14,411.39
Larry Mcgee,Patriots,TE,12,130.61
Edward Lopez,Texans,DEF,8,112.34
Mike Woods,Cowboys,RB,15,299.23
Jonathan Guerrero,Eagles,DEF,4,28.29
Christian Williams,Lions,K,6,51.3
Spencer Fleming,Jets,DEF,10,91.39
Patrick Hughes,Bengals,QB,15,429.51
Juan Williams,Redskins,QB,14,402.14
Robert Watson,Redskins,WR,16,277.47
David Nichols,Jaguars,TE,14,152.76
Victor Curtis,Bills,QB,15,408.27
Daryl Jones,Steelers,DEF,5,29.62
Charles Ramirez,Redskins,TE,1,12.94
Spencer Gomez,Falcons,QB,3,74.84
Stephen Young,Eagles,RB,11,200.02
Marc Nguyen,Redskins,K,5,41.67
Gregory Hoffman,Colts,K,4,39.33
Bradley Cook,Saints,RB,15,258.68
Michael White,Packers,K,8,71.74
Aaron Kelly,Saints,QB,2,48.16
Brandon Scott,Jets,WR,4,90.91
Kelly May,Jaguars,QB,2,47.72
Robert Moore,Buccaneers,K,9,67.52
Steven Craig,Vikings,TE,6,76.92
Scott Perkins,Ravens,WR,1,20.34
James Castro,Bills,QB,13,344.09
Shawn Robinson,Seahawks,WR,11,199.14
Ryan Wise,Seahawks,DEF,4,22.88
William Carey,Raiders,DEF,10,106.8
Matthew Green,Cardinals,TE,13,144.1
Clinton Howe,Cardinals,DEF,16,183.33
Joseph Jones,Chargers,TE,13,145.42
Joseph Klein,Jets,WR,2,44
Mitchell Jones,Rams,WR,12,203.88
Leonard Hicks,Buccaneers,RB,8,143.49
James Hanson,Cardinals,K,4,34.63
Richard Murphy,Saints,RB,15,309.27
Michael Beltran,Steelers,DEF,11,97.66
James Park,Jets,TE,11,107.96
Casey Mills,Buccaneers,QB,1,27.9
Mark Hill,Jaguars,TE,7,49.87
Ryan Roth,Eagles,TE,5,29.61
Jason Evans,Chiefs,WR,11,144.41
William Barnes,Bears,RB,7,156.22
Michael Anderson,Eagles,TE,4,49.24
Anthony Nichols,Lions,WR,7,104.32
Trevor Perez,Buccaneers,TE,5,50.93
Colin Barnes,Lions,TE,13,146.26
Malik Johnson,Redskins,QB,9,223.01
Ricardo Erickson,Vikings,TE,4,40.99
Daniel Barnes,Broncos,QB,14,385.69
Richard Fisher,Bills,DEF,3,49.39
Justin Johnson,Bills,QB,8,199.45
Charles Shelton,Raiders,RB,10,191.55
Joshua Weaver,Chargers,TE,7,86.12
Victor Dodson,Eagles,TE,8,83.73
Joshua Brown,Eagles,QB,1,33.26
Carlos Nelson,Bears,WR,2,39.46
Maxwell Peters,Packers,WR,11,185.43
Jeremy Davis,Chargers,QB,2,56.56
Matthew Alexander,Vikings,TE,2,6.59
Cody Brown,Lions,DEF,9,113.51
Sean Morgan,Falcons,DEF,9,97.24
Christopher Miller,Cardinals,WR,15,299.77
Kevin Gray,Packers,DEF,15,132.7
Devin Nguyen,Falcons,QB,5,134.19
David Williams,Eagles,RB,16,362.38
Kevin Ramirez,Ravens,DEF,8,73.19
Alexander Carr,Cardinals,K,12,98
Julian Bell,Ravens,RB,11,226.84
Taylor Baker,Lions,QB,15,398.87
Justin Baker,Packers,TE,5,53.03
Steven Tate,Rams,TE,12,126.09
Albert Anderson,Broncos,TE,3,42.78
William Smith,Saints,RB,6,137.1
Michael Ayala,Cardinals,RB,1,18.3
Benjamin Torres,Lions,TE,7,78.01
Michael Payne,Jaguars,DEF,6,52.2
Stanley Chung,Ravens,RB,4,83.26
Kristopher Nixon,Eagles,RB,3,59.83
Gordon Curry,Packers,K,3,15.03
Michael Salazar,Dolphins,WR,14,241.07
Robert Johnson,Ravens,QB,3,75.35
Darren Todd,Cowboys,TE,12,109.45
Christopher Allison,49ers,QB,3,65.56
Curtis Anderson,Jaguars,RB,5,106.63
David Cannon,Ravens,TE,6,50.83
Michael Lee,Chargers,DEF,5,25.19
Kenneth Johnson,Buccaneers,WR,8,149.13
Michael Campbell,Vikings,RB,4,85.18
William Harrison,Giants,RB,8,159.8
Brian Cowan,Titans,QB,7,210.26
Jeremy James,49ers,TE,9,75.3
Timothy Lang,Texans,RB,7,139.86
Joshua Cole,Giants,QB,3,98.51
Jesse Medina,Browns,DEF,11,104.01
Gregory Shaw,Browns,TE,13,142.18
Thomas Fernandez,Jets,WR,8,154.45
Phillip Perez,Packers,WR,7,116.7
Timothy Stevens,Packers,DEF,10,131.36
Michael Hensley,Bills,K,10,75.2
Antonio Perez,Redskins,DEF,5,70.59
William Brown,Giants,WR,8,167.9
Randall Sanders,Falcons,K,5,48.31
William Harrison,Falcons,RB,11,196.59
Anthony Mckinney,Falcons,RB,13,230.49
Dennis Clark,Bills,RB,4,90.08
Kevin Brooks,Patriots,K,4,29.51
Lee Hunter,Redskins,TE,9,106.48
Jonathan Stephens,Jaguars,K,3,27.66
Luis Lewis,Eagles,DEF,3,17.56
Gary Turner,Packers,QB,11,265.09
Timothy Jackson,Saints,TE,11,136.3
Thomas Campbell,Steelers,QB,6,160
Zachary Bell,Rams,WR,12,237.42
Gilbert Ortiz,Redskins,DEF,1,4.73
Bryan Sheppard,Steelers,DEF,7,74
Steven Peterson,Colts,K,6,43.74
Marcus Gomez,Eagles,WR,15,278.83
Marcus Thomas,Bears,WR,5,103.96
Cody Jones,49ers,WR,10,155.15
Carl Mills,Steelers,K,14,105.32
Douglas Hunter,Cardinals,RB,6,125.27
Erik Silva,Jets,QB,10,282.21
Andrew James,Saints,DEF,2,19.84
Charles Walters,Falcons,RB,6,139.91
Ryan Melendez,Panthers,WR,16,292.16
Thomas Hardy,Texans,DEF,14,98.08
Scott Young,Giants,RB,6,113.05
Roger White,Vikings,WR,5,97.59
Jeffrey Fitzgerald,Falcons,RB,6,110.73
Bryan Mejia,Packers,TE,12,117.59
Cory Hunter,Bears,K,2,14.55
Steven Buckley,Texans,WR,15,269.41
Michael Taylor,Bears,K,8,39.15
Anthony Simmons,49ers,WR,9,147.12
Douglas Gordon,Bills,K,3,18.05
Corey Wright,Cardinals,WR,15,255.31
Raymond Osborne,Bengals,TE,1,15.73
Brian Simmons,Titans,DEF,13,133.98
Juan Haley,Titans,K,9,84.3
Alec Hunter,Seahawks,WR,4,71.88
Erik Ingram,Cardinals,TE,4,35.56
Brian Manning,Chiefs,RB,16,344.98
Corey Herring,Packers,RB,10,208.23
Michael Wagner,Texans,RB,12,224.2
Paul Campbell,Titans,K,6,41.93
Brian English,Jets,K,2,16.98
Eric Campos,Steelers,WR,5,87.9
James Myers,Bills,WR,5,88.59
Alvin Miller,Buccaneers,DEF,13,144.13
Jeffery Lewis,Bengals,RB,12,247.91
Thomas Williams,Cardinals,RB,2,54.45
Mike Bell,Saints,K,15,123.25
Andrew James,Giants,QB,9,217.43
Richard Glenn,Falcons,TE,15,199.28
Jason Ford,Bills,TE,16,189.32
Corey Johnson,Cardinals,RB,8,181.81
Michael Freeman,Patriots,WR,3,28.39
Kevin Schmidt,Raiders,WR,12,199.96
Benjamin Hill,Bengals,K,6,20.67
Robert Brooks,Raiders,WR,14,249.41
Michael Silva,Lions,DEF,11,143.85
Mark Cisneros,Jaguars,K,8,39.85
Lawrence Anderson,Lions,DEF,12,124.23
Joshua Robinson,Raiders,K,13,101.18
Thomas Davenport,Eagles,DEF,14,128.12
Hector Butler,Jets,DEF,4,31.81
Jose Frost,Broncos,RB,1,18.26
Christopher George,Jaguars,TE,2,17.71
Curtis Beard,Rams,K,7,58.97
Roger Skinner,Saints,WR,12,181.15
Steve Levine,Giants,DEF,14,169.47
Garrett Mercer,Eagles,RB,15,246.21
Ryan Peterson,Jets,RB,6,108.38
Anthony Foster,Redskins,RB,7,131.69
Melvin Bradley,Giants,QB,6,174.21
Andrew Black,Patriots,RB,11,181.09
Cody Lucas,Falcons,RB,8,151.11
Nicholas Frederick,Bears,TE,9,106.86
Christopher Andrews,Bears,WR,1,9.15
